p,rep,n,Tp
1,1,10000000,0.067303
1,2,10000000,0.066065
1,3,10000000,0.066103
1,4,10000000,0.065372
1,5,10000000,0.066303
1,6,10000000,0.064582
1,7,10000000,0.064898
1,8,10000000,0.065982
1,9,10000000,0.064379
1,10,10000000,0.065370
1,11,10000000,0.064801
2,1,10000000,0.035406
2,2,10000000,0.033995
2,3,10000000,0.033821
2,4,10000000,0.033897
2,5,10000000,0.034137
2,6,10000000,0.040971
2,7,10000000,0.034492
2,8,10000000,0.034023
2,9,10000000,0.034067
2,10,10000000,0.034553
2,11,10000000,0.037165
4,1,10000000,0.018002
4,2,10000000,0.017692
4,3,10000000,0.017692
4,4,10000000,0.017820
4,5,10000000,0.017656
4,6,10000000,0.017631
4,7,10000000,0.018613
4,8,10000000,0.018641
4,9,10000000,0.019667
4,10,10000000,0.018276
4,11,10000000,0.017628
8,1,10000000,0.013358
8,2,10000000,0.010968
8,3,10000000,0.011797
8,4,10000000,0.011483
8,5,10000000,0.011284
8,6,10000000,0.010675
8,7,10000000,0.013806
8,8,10000000,0.013829
8,9,10000000,0.009023
8,10,10000000,0.013764
8,11,10000000,0.014039
